,Unnamed: 0,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet,category
0,0,1352708424828661766,lostcreatives1,Scotland ,Behind the scenes and on set with the Lost Creative Team #KBF,2019-08-29 13:22:50,933,2021-01-22 20:03:15,@DarrenPlymouth speculation and fear porn are the only things keeping this together.  #Idonotconsent,0,0,False,Negative
1,1,1352700896241704966,AliveAwakeReal,UK ,"🇦🇺 🇬🇧 Doing my best to shine a light on The Truth🔥Known as Mumma 🐻 & Earth 👼 Lighting the way with Love 💗Warrior Heart. Forgiving Spirit, mostly 🐻 ✨💗",2015-10-09 20:09:03,364,2021-01-22 19:33:20,"https://t.co/G73mGDt3yL

This breaks my heart.  These needless death must stop. 

PLEASE. PEOPLE. DO YOUR RESEARCH 

🙏

#IDoNotConsent",1,1,True,Negative
2,2,1352685345939320832,DeniseVFriend,"Brighton, England",,2018-08-12 13:44:39,81,2021-01-22 18:31:32,"@BlackmoreSpeaks I really, really hope so, but I won't hold my breath.
People are scared.

#IDoNotConsent",0,0,False,Negative
3,3,1352685252456677377,The_Forerunner_,,Saint John was the voice in the wilderness. The thunder before the storm. Eastern Orthodox of https://t.co/45xvfslmmH,2020-12-21 22:15:42,65,2021-01-22 18:31:10,@EwaMazierska @drumsolo1950 It's just people doing more virtue signaling. I #Resist and #IDoNotConsent!,2,0,False,Negative
4,4,1352681862599204864,DeniseVFriend,"Brighton, England",,2018-08-12 13:44:39,81,2021-01-22 18:17:42,"@SeanWal33531685 @saveourrightsuk Or a single politician!

#IDoNotConsent",1,0,False,Negative
5,5,1352670716898979841,gaminggodjonYT,,small Youtuber and twitch streamer | 20 years old | over 2k subs on YouTube,2017-11-27 03:53:27,33,2021-01-22 17:33:24,"So people are getting a vaccine for a fake virus that has over a 90% survival rate.

We live in a world where no on… https://t.co/Tckbe5GBD0",0,0,False,Negative
6,6,1352667929775632385,Cagsil,USA,"Knowledge, Experience & Wisdom Is Shared. It's Known Universal Knowledge & Truth Exists. #Cagsil #EqualRights #Advocate #Activist #Consciousness",2010-02-25 02:10:51,6333,2021-01-22 17:22:20,"RT @Cagsil: Now would be extremely helpful to the rest of us. Just to let you know. No pressure, but a decision will come soon.

#Resist Ty…",0,4,True,Negative
7,7,1352637251734257670,Roxannemyles5,"RABBIT HOLE! SAVE LIL GIRL, ME","I Was Captured @ Birth, I Was Named & Placed In Satans Nazi American Naval Base Argentia Nfld MK Mannequin SRA I Am A Life Long True Targeted Angel 144",2018-10-13 15:16:23,1888,2021-01-22 15:20:26,"RT @trippin_free: #Distophia #Future
#FuckThe33 #FuckTheNewWorld
#idonotconsent neither should anyone. You are giving up ur #FreeWill This…",0,7,True,Negative
8,8,1352594409217515523,AgreeT0D1sagree,"England, United Kingdom","Correcting someone on your/you’re, there/their/they’re doesn’t make you better than anyone it makes you a dick 🤷🏻‍♀️ and autocorrects a bitch 🟥",2020-04-08 09:06:32,781,2021-01-22 12:30:11,"People need to wake up 

As individuals we are tiny and insignificant but together we are strong and powerful! 

An… https://t.co/DqfJGKEks4",2,0,False,Negative
9,9,1352580426267815936,FunTimeFred1,,"Scientist. PhD
Covid’s just ONE of many risks
Stop f*cking up our society & economy 
Lockdowns and mass masking don’t work

TRUTH WILL OUT",2020-05-11 10:03:27,1366,2021-01-22 11:34:38,"RT @MeIAmBen1: So I’m happy to debate with people but when they get personal I’m going to block, last night I was basically ripped to piece…",0,1,True,Negative
