,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet
0,1352995641920778240,dumicf,🇪🇺România 🇷🇴 EU 🇪🇺,"Legal adviser,experience in legal& government work. Pasionate about #Diplomacy , people and places. #VisitRomania #DiscoverRomania #dreamnowvisitlater",2014-08-21 11:30:34,8812,2021-01-23 15:04:33,"RT @romaniaineu: What are the most probable side effects of vaccines? No doubt, the ones we are all looking forward to: intimacy, freedom,…",0,6,True
1,1352994428537892867,jtreynolds52,"Santa Monica, CA","good dad, producer, photographer who loves motorcycles",2011-11-10 19:12:14,139,2021-01-23 14:59:43,"RT @sabinvaccine: ""We all want to protect our children, let's talk about how to ensure a better future for them by vaccinating following ev…",0,2,True
2,1352993558672912384,kylierpeacock,"K’jipuktuk (Halifax,NS,Canada)","Health & 'Patient'/Lived Experience Advocate & Advisor, #Type1Diabetes, #Gastroparesis, Project Manager. She/Her. Tweets are my own.",2014-09-14 13:37:32,1160,2021-01-23 14:56:16,RT @jmllhfx: How to volunteer to help with the #NovaScotia #vaccination effort - sign up here https://t.co/31CHzVdCn8 Let’s get this rolled…,0,1,True
3,1352992845603463168,DullPeggie,,"Wife, mom, nurse, actor",2021-01-12 18:09:54,9,2021-01-23 14:53:26,"Covid vaccine #2 side effects I'm having
Fatigue
Sore arm
Low grade temp
Muscle aches
All.managable with Tylenol an… https://t.co/4FUAMi2sNa",0,0,False
4,1352992679135768579,AFLToronto,"Toronto, Canada","The Angel Foundation for Learning is the official charity of the Toronto Catholic District School Board, empowering @TCDSB students to focus on their education.",2010-11-12 15:15:11,1709,2021-01-23 14:52:46,RT @ONThealth: #Kindergarten registration is underway in parts of Ontario. Get your kids ready for school by making sure their vaccinations…,0,5,True
5,1352992211382792195,bys3ska,,"Running is life 🏃‍♀️ | Wear a mask, Be kind, Bring on the vaccine 💉 | Senior Health Matron",2015-11-02 21:35:36,159,2021-01-23 14:50:55,When your 94yo grandmother casually mentions she hasn’t had any vaccines since a pre war smallpox jab... Saturday w… https://t.co/BnkIbXYdpr,0,0,False
6,1352992189689815042,CandiceRoufosse,"London, England",Renal and Transplant Pathologist,2012-04-16 12:36:02,519,2021-01-23 14:50:50,RT @FionaCLoud: Very happy indeed to have had my #COVID19 vaccination at Hammersmith hospital this morning. Brilliantly organised by @mkwil…,0,9,True
7,1352991316859187200,GoliyaSiyota,"Jodhpur, India",,2018-07-14 01:48:38,8,2021-01-23 14:47:21,"RT @DrOM_Machra: Mother took 1st shot of #CovishieldVaccine . 
No side effect, It’s completely safe.

Request every health care worker to p…",0,7,True
8,1352990952680534017,Christina_Arand,"Cleveland, OH","#tweetiatrician | future PEM fellow 👩‍⚕️ amateur runner 🏃‍♀️ dog lover 🐶 wear a mask 😷 vaccines work 💉 register to vote 🗳️ 

she/her | views are my own",2010-08-02 23:58:31,150,2021-01-23 14:45:55,This ⬇️⬇️⬇️. All of this. #VaccinesSaveLives https://t.co/nzf06psIzr,0,0,False
9,1352990884111892480,mrc_mlb,Maldives,"Maldivian Red Crescent [@maldivianrc] - Malé Branch. Serving Greater Malé Area; Malé, Villimalé and Hulhumalé.",2016-05-31 04:32:29,1775,2021-01-23 14:45:38,"RT @maldivianrc: Vaccines have saved lives for many generations, helping people keep infectious diseases at bay. 

As the #COVID19 immunisa…",0,2,True
10,1352989159330373633,EmmaWWesley,"London, England","#GKT Medical Student interested in art, bees and equal rights. She/her",2019-05-31 14:05:00,159,2021-01-23 14:38:47,Feeling very vaccinated and very lucky! Thanks science #vaccineswork,3,0,False
11,1352988777736761344,hwganendodoc,London,Consultant Paediatric Endocrinologist @GreatOrmondSt| Deputy Chair @CCLG_UK Nat'l Craniopharyngioma GDG| @SUCCESS_Charity| #lateeffects| #NHS patient| Views own,2015-09-24 07:49:23,1913,2021-01-23 14:37:16,"Amidst the doomscrolling, some optimism - 5.4 million vaccinated x1, quoted as 8% of population but if you account… https://t.co/sqpYcr2yTl",2,0,False
12,1352988235987705857,CourtneyForseth,,Opinions are my own,2009-09-02 02:18:06,81,2021-01-23 14:35:07,"RT @drsusanshaw: @MMandryk SK is currently leading the country! when vaccines arrive, we have an amazing plan! Thanks to all the teams acro…",0,1,True
13,1352988088952385536,MRGUMEDE57,,...,2021-01-12 18:03:09,0,2021-01-23 14:34:32,RT @africarenewal: #VaccinesWork are safe and they help prevent millions of deaths every year. Yet anti-vaccine messages stir up fear about…,0,3,True
14,1352988026226540544,MRGUMEDE57,,...,2021-01-12 18:03:09,0,2021-01-23 14:34:17,"RT @africarenewal: Vaccines Work! Vaccines are safe and they help prevent millions of deaths every year.

#VaccinesWork https://t.co/rjLD6V…",0,3,True
