,Unnamed: 0,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet,category
0,0,1352959968408985601,BSCSD,Ballston Spa NY,"Every Child will Read, Write, Think, and Learn well - Educating Everyone Takes Everyone!    #BSCSD #GoScotties",2012-10-29 18:59:31,3220,2021-01-23 12:42:47,RT @BSpaWellness: @BSCSD is excited to take part in the #IGotTheShot campaign! #BSpaWellness #BSCSD,0,1,True,Positive
1,1,1352958332026433536,JennBarr1961,,"Mom of 3, Gma of 1 “Love to laugh” #BLM 💪🏿💪🏾💪🏽💪🏼💪🏻 #BidenHarris2020Landslide DMs are deleted",2014-12-24 12:05:28,3355,2021-01-23 12:36:17,"RT @tmprowell: #IGotTheShot, but I still #WearAMask . That’s how we do in a #pandemic.

#COVID19",0,3,True,Positive
2,2,1352958143328825345,CovidCorps,,"It is War with COVID19 and we need YOU! Join the fight in any way you can, #SoapAndSanitizer are our primary weapons! United we can #FlattenTheCurve #COVIDCorps",2020-03-05 03:08:11,368,2021-01-23 12:35:32,"RT @tmprowell: #IGotTheShot, but I still #WearAMask . That’s how we do in a #pandemic.

#COVID19",0,3,True,Positive
3,3,1352953229068414977,AlexGra74543674,"California, USA","I'm a God fearing woman, friendly, easygoing, I love traveling, cooking and most especially smiling 🥰🥰🥰",2021-01-10 23:37:39,5,2021-01-23 12:16:01,"RT @DennisLeMaster7: I highly encourage everyone to #GetTheShot when it is offered! #IGotTheShot to protect all of you, my teammates. 

Get…",0,32,True,Positive
4,4,1352951623044235267,dgatterdam,NYC,Creative Consultant and Human Rights Activist,2008-12-04 00:06:55,3092,2021-01-23 12:09:38,"RT @kennethcolereal: Grateful to those in medicine and related fields fighting the Virus. If we all wear masks, socially distance, and vacc…",0,9,True,Positive
5,5,1352947502417399810,NatalijaFarrell,"Boston, MA",EM Pharmacist/Toxicologist @THE_BMC and PGY2 EM RPD @BMCPharmRes 💊 Asst Professor @BUMedicine @BostonCityEM 💊 Views are my own (she/her) #BLM,2014-03-02 14:09:45,980,2021-01-23 11:53:15,"Got dose #2 about 15 hours ago. The sore arm, muscle weakness, and mild headache are 100% manageable and way better… https://t.co/nhlXVY3vcq",5,0,False,Positive
6,6,1352938363171594241,BSpaWellness,"Ballston Spa, NY",Encouraging and supporting WELLNESS in the Ballston Spa CSD and community.  #BSpaWellness,2018-02-24 00:43:10,210,2021-01-23 11:16:56,@BSCSD is excited to take part in the #IGotTheShot campaign! #BSpaWellness #BSCSD https://t.co/8itYQivwdd,2,1,True,Positive
7,7,1352934261767233538,kennethcolereal,NYC,"I’m a NY fashion designer. Designing is what I love & do, but it’s not who I am. @UNAIDS Ambassador, @mentalhealthcln Founder, #EndAIDS2030 #MentalHealthMatters",2012-05-22 21:09:24,196960,2021-01-23 11:00:38,"RT @kennethcolereal: Grateful to those in medicine and related fields fighting the Virus. If we all wear masks, socially distance, and vacc…",0,9,True,Positive
8,8,1352929398530437121,westpointtom,"Saratoga Springs, NY",Living A Dream with West Point Thoroughbreds,2008-11-24 14:48:02,1956,2021-01-23 10:41:19,RT @SaratogaChamber: We're proud to be partnering with @SaratogaHosp on the #IGotTheShot campaign. Shots in arms will help re-open our econ…,0,3,True,Positive
9,9,1352928563780050944,KamiCakesTweets,,"twitch sings vocalist, music production major, gamer, friend.",2018-03-03 07:59:46,276,2021-01-23 10:38:00,"RT @coracoracora: Covid-19 vaccine #1 ✅ 
Post-vaccination selfie ✅
I am very grateful for my impending immunity, and I’m excited and hopefu…",0,1,True,Positive
10,10,1352915745890590720,IDoctorRajat,"Ghaziabad, India","Director, Yashoda Hospital & Research Centre, Ghaziabad, India",2009-07-11 18:10:43,56,2021-01-23 09:47:04,"DM at @Health1st_YHRC  
On #Day2 of #COVID19Vaccination Drive, our health workers were overwhelmed on seeing… https://t.co/V8TxJQuALE",3,0,False,Positive
11,11,1352914178978275334,VaccinePhotos,mRNA 🧬,Pictures of HEROES saving lives by getting the COVID-19 vaccine shots. Inspire. #Covid19 #Photos #IGotTheShot,2009-12-30 05:52:36,293,2021-01-23 09:40:50,RT @DrT_LeBaron: 7 days post 2nd Pfizer vaccination and still feeling great! Able to do winter hiking! Let’s get everyone safe and vaccinat…,0,2,True,Positive
12,12,1352913330772578305,IDoctorRajat,"Ghaziabad, India","Director, Yashoda Hospital & Research Centre, Ghaziabad, India",2009-07-11 18:10:43,56,2021-01-23 09:37:28,"The Hope Injecting Dose💉
#CoronaVaccine 
#IGotTheShot 
#DoctorsFirst 
#GetVaccinated 
@IDoctorRajat @Health1st_YHRC https://t.co/F1AlyNPk5k",0,0,False,Positive
