,Unnamed: 0,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet,category
0,0,1361946736269406209,gerrard1212,"Bristol,UK","Scientist MSc Microbiology, Sport and Coffee! Liverpool Champions of Europe! YNWA! Barcelona, Rio de Janeiro. Raised St Albans,Birkenhead. Settled in Bristol.",2010-08-23 20:08:31,1187,2021-02-17 07:53:00,"RT @DeniseVFriend: @gerrard1212 Actually, there are many people not working including me! And those that work in:
Hospitality 
Small shops…",0,0,False,Negative
1,1,1361919618009370625,greekgodess128,,,2013-03-09 00:38:01,42,2021-02-17 06:05:14,"@covid19nz Nah, no thanks, I have an immune system, I don't need/require or have any desire to participate in your… https://t.co/pQOO7JxCKo",1,0,False,Negative
2,2,1361836436031475713,cherimackay727,,,2009-08-14 11:47:38,52,2021-02-17 00:34:42,"RT @KinnonJohn1: Is it still a ""conspiracy theory"" even when it's on the government website?
#GreatReset #corruption #government #DARETOTHI…",0,84,True,Negative
3,3,1361806122735202307,SpongyBob,Timbuktu,,2009-03-27 14:24:25,54,2021-02-16 22:34:15,@SkyNewsAust Taking it is called natural selection 🙂 #IDoNotConsent,0,0,False,Negative
4,4,1361804822245212162,Anne_Fallible,USA ⛪️ #TLM,"Be strong and courageous, do not be afraid or tremble at them, for the Lord your God is the one who goes w/you. He will not fail you or forsake you. John 14:27",2019-11-12 07:07:00,651,2021-02-16 22:29:05,"RT @KinnonJohn1: Is it still a ""conspiracy theory"" even when it's on the government website?
#GreatReset #corruption #government #DARETOTHI…",0,84,True,Negative
5,5,1361775185985212416,DeniseVFriend,"Brighton, England",,2018-08-12 13:44:39,86,2021-02-16 20:31:19,"OMG - An inquisition at the supermarket. 

She wants him to be quick, but stands chatting to him for 7 mins, touchi… https://t.co/iUVhHboutT",1,0,False,Negative
6,6,1361772780950290439,PietroCanada,"Tottenham, Ontario Canada","I like birds, bugs, mother nature and travel. Wars are for profit! We should be able to discuss ANY topic...change my mind! RTs may be in disbelief. ✌️❤️",2012-01-08 04:15:59,361,2021-02-16 20:21:46,"RT @Cagsil: What #PoliceState ?

#NoDHS #NoTSA #IDoNotConsent #Cagsil https://t.co/KpWZLvQC1p",0,4,True,Negative
7,7,1361764988742864897,oneega,🌎NY$tã%éÇ@pî%@l+200MileRadius,"*18+only*
#stopCHEMICALrapeOFtheEARTH
#WaterIsLife
🐺H3rding🐑§ince2020
1🙇♠when1👀♠
$ly$ñêâk$THEÇåt
#VivaLaRevolución
🏴🔪Nanobiochemist
H204@££💙",2020-06-07 04:26:52,679,2021-02-16 19:50:48,"#BullGates #SyntheticBeef #IDoNotConsent

Bill Gates: Rich nations should move to '100 percent synthetic beef' https://t.co/GM56bvWILq",0,0,False,Negative
8,8,1361761831358849025,TheLastUprisin1,"San Francisco, CA","This is the time where humanity rises up, or the oligarchs wipe us out. Please help! Venmo: @Peter-Maya-Media CashApp: $PeterMayaMedia https://t.co/1JK4uNjxTi",2020-09-13 23:08:20,683,2021-02-16 19:38:15,"RT @Cagsil: What #PoliceState ?

#NoDHS #NoTSA #IDoNotConsent #Cagsil https://t.co/KpWZLvQC1p",0,4,True,Negative
9,9,1361761508103909379,dihoppy,Washington State,Not enjoying our Banana Republic,2009-03-04 19:44:33,4005,2021-02-16 19:36:58,"RT @Cagsil: What #PoliceState ?

#NoDHS #NoTSA #IDoNotConsent #Cagsil https://t.co/KpWZLvQC1p",0,4,True,Negative
10,10,1361760744719572992,inmyownfashion2,,"“Double, double toil and trouble; Fire burn and caldron bubble.”",2020-04-26 04:34:45,3962,2021-02-16 19:33:56,"RT @Cagsil: What #PoliceState ?

#NoDHS #NoTSA #IDoNotConsent #Cagsil https://t.co/KpWZLvQC1p",0,4,True,Negative
11,11,1361759970606411782,Cagsil,USA,"Knowledge, Experience & Wisdom Is Shared. It's Known Universal Knowledge & Truth Exists. #Cagsil #EqualRights #Advocate #Activist #Consciousness",2010-02-25 02:10:51,6373,2021-02-16 19:30:51,"What #PoliceState ?

#NoDHS #NoTSA #IDoNotConsent #Cagsil https://t.co/KpWZLvQC1p",4,4,True,Negative
12,12,1361759420674416650,Cagsil,USA,"Knowledge, Experience & Wisdom Is Shared. It's Known Universal Knowledge & Truth Exists. #Cagsil #EqualRights #Advocate #Activist #Consciousness",2010-02-25 02:10:51,6373,2021-02-16 19:28:40,"Now would be extremely helpful to the rest of us. Just to let you know. No pressure, but a decision will come soon.… https://t.co/5TYJy5Dj04",1,0,False,Negative
13,13,1361757869067014144,greekopoulos,Australia,Loves random things! & Attention-Span of a... oh look! Shiney!,2011-11-01 10:22:46,39,2021-02-16 19:22:30,Exactly why so many people are moving or leaving Melb the 1st chance they get lots of PTSD from the 2020 lockdowns… https://t.co/dqf6eChK3t,1,0,False,Negative
14,14,1361753747337203717,Tomfool11,"London, England","Two friends who blog about British history from 1870 to 1939
https://t.co/frVUnohoMN",2015-12-23 21:32:36,502,2021-02-16 19:06:08,"@Arwenstar @KarenH777 Hear, hear!! I grew up under a dictatorship and its appalling how its happening here in my ad… https://t.co/24KrgHfgwz",5,0,False,Negative
