,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet
0,1359191288759734278,sageness77,,#Technology #QuantumPhysics #Space #Universe,2020-10-16 18:33:20,154,2021-02-09 17:23:50,"RT @UNICEFLaos: Welcome British Ambassador🙏! 

@PiaBritto UNICEF Rep and @JohnPearson68, Ambassador @UKinLaos met at UNICEF today to discus…",0,3,True
1,1359190755546435594,SJWarriorCJ,,PsychEmerge. CIT/PET. BoyMom. Snarky. ✊🏿✊🏾✊🏽✊🏼BLM. 🏳️‍🌈Ally. She/Her. End Hate. For the love of people is greater than the love of money. #resist,2017-01-07 01:46:50,219,2021-02-09 17:21:43,I’m doing my “fully vaccinated” dance! #TrustScience #COVID19 #CovidVaccine #VaccinesWork https://t.co/sAhWSpJA44,1,0,False
2,1359190406924275714,ImmuneNY,,"Let's Get Immunized NY strives to provide all New Yorkers, especially those in medically underserved communities, reliable and trustworthy information.",2020-11-11 01:39:16,58,2021-02-09 17:20:20,"RT @Vaxyourfam: “The U.S. Needs a National Vaccine Day” - via @statnews - https://t.co/iQXXStXFIZ
--
#COVID19 #covidvaccine #vaccines #vacc…",0,2,True
3,1359189656621903873,petepasco,www.imdb.me/peterpasco,Yo no soy marinero soy capitan soy capitan soy capitan. (insta: @dramallama247),2009-05-02 09:37:08,812,2021-02-09 17:17:21,@atrupar Proof that the vaccines do mess with your DNA. Before getting vaccinated #ChipRoy was a man of intelligenc… https://t.co/SdaCyzrSa2,0,0,False
4,1359188999252901897,mrautographs,"East, England",Now retired. ENJOYING BOWLS AND NOW GOLF AGAIN.,2015-02-17 16:21:10,1172,2021-02-09 17:14:44,"RT @TheLouisEmerick: Hey peeps, happy @Ballstocancer #Covidvariant😪 #VaccinesSaveLives🙏🏾 #TalkaboutitTuesday! Depression? Anxiety? Lonlines…",0,0,False
5,1359188432619208709,Claire_Felten,"Washington, DC",Global health policy and advocacy @PATHadvocacy | aspiring epidemiologist | lover of breakfast foods | obsessive gym-goer | all opinions my own,2018-12-04 14:53:12,69,2021-02-09 17:12:29,"Wow. This is big. I get the argument for free speech, but honestly I think we were past that after we hit, oh, 2.3… https://t.co/jWdT5OMrxC",0,0,False
6,1359188166213701634,HanaScientist,"San Francisco, CA","Professor, mom, scientist, engineer, brown immigrant, learning how to be anti-racist, @ucsf @czbiohub alumna &trustee @aub_Lebanon #fundblackscientists",2017-02-07 21:33:06,2055,2021-02-09 17:11:25,Thanks Paula Hammond @MIT for bringing this important article she co-authored to the attention of our BME Women gro… https://t.co/xPEfvn8XdU,0,0,False
7,1359187565736247296,visitbelizecity,Belize,"Belize City Central America 
visit Belize City 
#visitbelizecity",2020-12-29 09:41:39,72,2021-02-09 17:09:02,"RT @unicefbelize: ✌️is for #Vaccinated ✌️
We visited KHMH to talk with health workers about the #COVID19 vaccine. We asked one question. Wi…",0,1,True
8,1359187270218178561,RC_Epi,"Baton Rouge, LA","Disease transmission scientist and all the stops in b/t. Jazz, 🐈, puns, Oxford comma is critical. Mom/wife/fluent in sarcasm. Views mine. RT/like != endorse.",2014-05-03 21:40:21,1290,2021-02-09 17:07:52,"Here's a piece of crappy sci-comm for you. Happy Tuesday. #VaccinesWork 

I value sensitivity over specificity in c… https://t.co/TY2L2z9xuV",2,0,False
9,1359186251526635529,ImmunizedotCa,Canada,A national coalition whose mission is to promote the understanding & use of vaccines as recommended by the National Advisory Committee on Immunization (NACI).,2009-07-17 17:36:00,4222,2021-02-09 17:03:49,I vaccinate to protect myself from the diseases I can during #COVID19 | @VaxAmbassadors &amp; @ImmunizedotCa |… https://t.co/Vcd1TtMVNG,1,0,False
