,Unnamed: 0,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet,category
0,0,1362404719348625408,AARPKY,Bluegrass State,"Official AARP Kentucky Twitter. Get to know us: https://t.co/ufPeUPIjNr Member Helpline 888-OUR-AARP. Follows, mentions and retweets are not endorsements.",2009-07-25 15:14:41,3266,2021-02-18 14:12:52,"@3rdRetiredTeach See Kentucky's update vaccine website - https://t.co/uBAn5RRZ3U
The Vaccine Hotline can help with… https://t.co/EX8OXlpuzm",0,0,False,Positive
1,1,1362274629604245504,GoSolar01,,"Get all your solar info here, including latest trends, solar stuff as well as coronavirus (COVID-19). For more amazing stuff, follow us at @GoSolar01.",2017-12-14 06:26:39,1861,2021-02-18 05:35:56,RT @dr_hhq: Chipped - #crushcovid #gettheshot 🇨🇳#covid #coronavirus #vaccination #covid19 https://t.co/pzuZuHxLAM,0,1,True,Positive
2,2,1362274550801702912,dr_hhq,"Karachi, Pakistan",Assistant Professor #Urology #SIUT - Half Professor Full Human - #Robotics MIS #Gadgets #Endourology #Stone uro #oncology. Amateur Photographer - Views my own.,2009-08-15 06:11:55,2378,2021-02-18 05:35:37,Chipped - #crushcovid #gettheshot 🇨🇳#covid #coronavirus #vaccination #covid19 https://t.co/pzuZuHxLAM,2,1,True,Positive
3,3,1362250175729725441,Nakhasi_MD,"Los Angeles, CA","Doc in Compton | Policy Adviser. LA County Dept of Health Services, 2nd largest public system in US. Hopkins MD | Harvard MPP.",2009-03-11 06:04:06,2205,2021-02-18 03:58:45,"RT @PinnacleTC_Hope: Holly Broce, president of our Opioid Treatment Program (OTP) Division, and Kelly Priegnitz, our chief legal and compli…",0,1,True,Positive
4,4,1362247606353690626,SonLaurencio,"Kentucky, USA",Pro Executive Entrepreneur #business #marketing w healthy lifestyle fitness #socialmedia #strategy #innovation  Empresario Ejecutivo,2013-04-15 02:31:40,1558,2021-02-18 03:48:33,"RT @LFCHD: A COVID-19 vaccine update thread:

We’ve vaccinated more than 8,500 people against COVID-19!

While the amount of vaccination do…",0,1,True,Positive
5,5,1362238790664785924,lechefwayne,"Calgary,Alberta,Canada",Hosts South Louisiana Gumbo 25 yrs on https://t.co/KrCkhybe6x 90.9 FM — From Acadian to Hip-Hop—7PM MT Mondays #calgary #louisiana #cajun #zydeco Tweets politics,2011-06-11 16:43:12,539,2021-02-18 03:13:31,"RT @AHS_media: “Looking at how hard these scientists have probably worked to get this vaccine made in such a short amount of time,”says ICU…",0,12,True,Positive
6,6,1362238340335034373,MirandaYoung2,,Faith is being sure of what we hope for and certain of what we do not see. -Hebrews 11:1,2011-08-18 23:39:54,1099,2021-02-18 03:11:44,RT @BGISD: THANK YOU @MedCenterHealth and all volunteers working the Vaccine Clinic. This team has provided over 70% of our employees a #sh…,0,11,True,Positive
7,7,1362224185381117954,WadeScroggi,"San Antonio, TX",eyeamtheesonofsalvation,2017-06-21 02:13:10,282,2021-02-18 02:15:29,"RT @medcoe: #GetTheShot 💉🦠 #IGotTheShot 

The Command Team that vaccinates together “saves” together! 

The 232nd MED BN leadership is help…",0,2,True,Positive
8,8,1362223850918993923,MeyersMusings,"Buffalo | Hamburg, NY","Random thoughts, observations, commentary.
Opinions are mine and not necessarily the views of my employer or anyone else.
You can send me direct messages.",2011-04-13 02:13:41,1790,2021-02-18 02:14:09,"Social distancing.
Seasonality.
Seroprevalence.
Shots.

=====

""COVID-19 Cases Are Dropping Fast. Why?""… https://t.co/QszFeoXIQv",0,0,False,Positive
9,9,1362217780515332101,EinsteinHealth,Philadelphia Pennsylvania USA,Philadelphia’s largest independent academic medical center & home to MossRehab servicing the greater Philly area for over 150 years.,2009-05-11 16:13:42,4380,2021-02-18 01:50:02,"@CheltTwpPD Police Officer, Ryan Ewald, is one of many doing their part to slow the spread of #coronavirus and shar… https://t.co/0ahu5G3izZ",0,0,False,Positive
10,10,1362211549176332289,tloving138,,,2012-04-28 10:13:56,969,2021-02-18 01:25:16,RT @BGISD: THANK YOU @MedCenterHealth and all volunteers working the Vaccine Clinic. This team has provided over 70% of our employees a #sh…,0,11,True,Positive
11,11,1362209578499383298,Scott502,Kentucky,"Living life in the now of 502. Views expressed my 2-cents. RT, Follow, or ❤️ ≠ Endorsement. Find me @AARPKY #AARPSalutesVets",2011-10-06 19:14:48,969,2021-02-18 01:17:26,RT @AARPKY: Kentucky’s COVID-19 vaccine program to get a supply boost of more than 20% next week https://t.co/futM2gRgBd #shotofhope,0,2,True,Positive
12,12,1362203899692777474,jenjenschneids,Granby ct,Bentley University Alumni,2017-04-06 23:53:20,26,2021-02-18 00:54:52,RT @THOfNewEngland: Governor Ned Lamont received his first dose of the #ShotOfHope yesterday at the The First Cathedral in Bloomfield. @Gov…,0,2,True,Positive
13,13,1362189977044606976,ConnieSmithCEO,"Bowling Green, KY",President and CEO Med Center Health,2020-03-16 14:04:21,674,2021-02-17 23:59:33,RT @BGISD: THANK YOU @MedCenterHealth and all volunteers working the Vaccine Clinic. This team has provided over 70% of our employees a #sh…,0,11,True,Positive
14,14,1362182006700793857,IamaCassandra,Under the rainbow...✨,"Patrice Liberatti 🇬🇧🇨🇦🐘Chemical Engineering, Love elephants, NYT crosswording, Jeopardy, Quiz games, & the English language. MamaCat to 5 disparate kits.",2012-08-28 20:22:36,584,2021-02-17 23:27:53,"RT @AHS_media: “Looking at how hard these scientists have probably worked to get this vaccine made in such a short amount of time,”says ICU…",0,12,True,Positive
15,15,1362180456154718208,BlakeGirardot,Beautiful Gregory Michigan,"Mgr @makeloveland, former @hotosm I work with #GIS #SpatialData #EO #UAV #parcels Views my own. he/his/him Free researcher geospatial consults, DM me.",2014-11-16 04:33:46,833,2021-02-17 23:21:43,RT @Akinfe: quick update: got my 2nd shot of #moderna a few days ago. had minor soreness around the injection site the first 2 days but tha…,0,6,True,Positive
16,16,1362176178845532161,Akinfe,NYC,♔International Photographer | Content Creator | Public Health | Contributor: @MusicNewsWeb @thewiremagazine @Blavity + @AllAboutJazz | HU🎓 | NYU🎓 | 📷📝♔,2009-04-09 23:12:40,6909,2021-02-17 23:04:43,RT @Akinfe: quick update: got my 2nd shot of #moderna a few days ago. had minor soreness around the injection site the first 2 days but tha…,0,6,True,Positive
17,17,1362175304756772864,SchoolsMichigan,Michigan ,"Dedicated to promoting, sharing and supporting all things regarding schools, districts, policies, students and families in Michigan. #MichEd #PureMichigan",2015-02-03 17:41:20,5371,2021-02-17 23:01:15,"RT @MieschTodd: Thanks to all the medical field front line workers and volunteers who are doing so much good!  ALL VACCINATED UP!
#ShotOfHo…",0,3,True,Positive
18,18,1362174766354989056,ChrisSeabolt,"Bowling Green, KY","Married to @tabbyseabolt. Dad to Cady, Dylan & Corbin. BGHS School Guidance Counselor, Offensive Coordinator at Bowling Green High School, AD at BGJHS",2011-03-05 03:39:22,1271,2021-02-17 22:59:06,RT @BGISD: THANK YOU @MedCenterHealth and all volunteers working the Vaccine Clinic. This team has provided over 70% of our employees a #sh…,0,11,True,Positive
19,19,1362174068141752324,acosta_cynthia,,Pediatra infectólogo/ Mamá de tiempo completo/ #YoSiUsoCubrebocas,2011-12-17 04:11:44,152,2021-02-17 22:56:20,"RT @MieschTodd: Thanks to all the medical field front line workers and volunteers who are doing so much good!  ALL VACCINATED UP!
#ShotOfHo…",0,3,True,Positive
20,20,1362173316639916032,MedCenterHealth,"Kentucky, USA",Med Center Health is a full-service healthcare provider in Southcentral Kentucky. Giving you the care you need. Right here.,2016-04-20 19:43:52,1551,2021-02-17 22:53:21,RT @BGISD: THANK YOU @MedCenterHealth and all volunteers working the Vaccine Clinic. This team has provided over 70% of our employees a #sh…,0,11,True,Positive
21,21,1362169867303063554,Coachk024,,,2018-09-25 17:12:30,48,2021-02-17 22:39:38,RT @BGISD: THANK YOU @MedCenterHealth and all volunteers working the Vaccine Clinic. This team has provided over 70% of our employees a #sh…,0,11,True,Positive
22,22,1362168284116897795,SaintFrancisCT,"Hartford, Connecticut","Here at Saint Francis, we are committed to exceeding the expectations of our patients and families by providing world-class service.",2016-03-03 16:43:35,1027,2021-02-17 22:33:21,RT @THOfNewEngland: Governor Ned Lamont received his first dose of the #ShotOfHope yesterday at the The First Cathedral in Bloomfield. @Gov…,0,2,True,Positive
23,23,1362168220355080199,THOfNewEngland,"Hartford, CT","We, Trinity Health, serve together in the spirit of the Gospel as a compassionate and transforming healing presence within our communities.",2015-06-16 16:32:31,695,2021-02-17 22:33:06,Governor Ned Lamont received his first dose of the #ShotOfHope yesterday at the The First Cathedral in Bloomfield.… https://t.co/XaNI8enEC2,2,2,True,Positive
24,24,1362157865641779201,brdautremont,,"Watching my world, adding something positive when I can.",2010-01-24 19:24:48,559,2021-02-17 21:51:57,"RT @AHS_media: “Looking at how hard these scientists have probably worked to get this vaccine made in such a short amount of time,”says ICU…",0,12,True,Positive
