,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet
0,1361973639470546951,HyperHygiene,United Kingdom,"Consult us for all biohazard issues. Plus sign up for our (almost) daily blog Back Off, Bacteria! at https://t.co/ARaijJopxz",2014-01-19 12:04:57,2270,2021-02-17 09:39:54,The coronavirus is here to stay — here’s what that means https://t.co/BzqHHRzLNc via @NatureNews #EndemicDisease… https://t.co/aTrrN3ziXe,0,0,False
1,1361973389435494404,kaldany,Beirut,"Sustainability, Technology, Economy, Music, Faith and much more...",2009-06-24 06:32:43,1032,2021-02-17 09:38:54,"RT @CarmenGeha: Thank you Dr. @choucair for your service, for lifting us up as Lebanese stuck here hostages to #corruption &amp; sectarianism,…",0,1,True
2,1361972965496270850,VaccinesToday,Belgium,"An online platform, supported by Vaccines Europe, for discussing vaccination. WHO @VaccineSafetyN
member. Tweets by Gary Finnegan https://t.co/7pMLVW9NVt",2010-10-21 11:06:14,16108,2021-02-17 09:37:13,#HPV vaccination &amp; screening can end #cervicalcancer - but most countries are not hitting the target… https://t.co/jUulBhzNZg,1,0,False
3,1361972432765128706,LynneSchofieldx,,"Head of Pharmacy & Prescribing, Welsh Government 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Public Servant, Workaholic & Woke Mum. All views are my own. RTs not necessarily endorsements.",2020-02-12 15:56:49,248,2021-02-17 09:35:06,RT @muslimdoccymru: #CovidQuestions                                Over the next few weeks we will be posting clips from our multiple langu…,0,2,True
4,1361972304847151104,tomal_sarker,"Dhaka, Bangladesh","বাংলাদেশ ছাত্রলীগের একজন সক্রিয় সদস্য ৷
 বঙ্গবন্ধু শেখ মুজিবের আদর্শ ও মমতাময়ী নেত্রী শেখ হাসিনার ভালোবাসা নিয়েই সামনে এগিয়ে চলা ৷ 
এগিয়ে যেতে চাই বহুদূর",2016-02-04 13:00:22,1904,2021-02-17 09:34:36,"RT @albd1971: #Bangladesh’s nationwide #Covid19 #VaccinationDrive: 2,26,902 people received the #vaccine today; more than 1.3 million (13,5…",0,8,True
5,1361972175981469701,CarmenGeha,Beirut,"Activist & Associate Professor @Aub_lebanon specialized in leadership & inclusion, protests, refugees, crisis. Ex-fellow @the_ias @HarvardWCFIA @WatsonInstitute",2012-07-31 13:24:22,6326,2021-02-17 09:34:05,"Thank you Dr. @choucair for your service, for lifting us up as Lebanese stuck here hostages to #corruption &amp; sectar… https://t.co/eLzq1rbHyz",2,1,True
6,1361971156425834502,anjahuja,London,"Science journo (@FT Contributing Writer), @senseaboutsci trustee. @speakrs4schools. Never knowingly underbold. Opinions mine. Stay apart, mask up, wash hands.",2013-01-24 15:43:21,4411,2021-02-17 09:30:02,@ZaniaStamataki @campbel_sarah @Ri_Science @mariannaspring @BBCPanorama @PhilosophyTube This is such great news Zan… https://t.co/0zcVBBpICO,1,0,False
7,1361970521345302535,CEPIvaccines,Global,Coalition for Epidemic Preparedness Innovations (CEPI). We want to stop future epidemics by developing new vaccines for a safer world.,2016-10-07 11:16:22,33688,2021-02-17 09:27:31,"RT @IAVI: ""We can prepare a global infrastructure and invest in new technology that speeds up the vaccine development process,"" says Melani…",0,4,True
8,1361969887430799369,RCGPWales,"Cardiff Bay, CF10 5FL, Wales",Facilitating the provision of high quality medical care by promoting and supporting general practice and general practitioners.,2014-01-07 11:35:19,2133,2021-02-17 09:24:59,RT @muslimdoccymru: #CovidQuestions                                Over the next few weeks we will be posting clips from our multiple langu…,0,2,True
9,1361968329984983041,ghinaakoum,Lebanon,👩🏽‍⚕️,2012-10-31 17:42:39,351,2021-02-17 09:18:48,"RT @bertussisMD: Hello #Pfizer it's nice to finally meet you.

#COVID19 #MedTwitter #VaccinesSaveLives https://t.co/0wpuih5d52",0,1,True
