id,date,username,content,url
1350897813236961281,2021-01-17 20:08:31+00:00,heids_short,Absolutely! #idonotconsent #unmaskourkids https://t.co/oiVPxe3kkP,https://twitter.com/heids_short/status/1350897813236961281
1350019501396553728,2021-01-15 09:58:25+00:00,heids_short,"A step in the right direction towards the goal to #unmaskourkids 
https://t.co/UBi6CJjOd3",https://twitter.com/heids_short/status/1350019501396553728
1349946588345606144,2021-01-15 05:08:42+00:00,heids_short,This is absolute insanity!!! #unmaskourkids https://t.co/c8RnxH7qOt,https://twitter.com/heids_short/status/1349946588345606144
1347549823474429954,2021-01-08 14:24:48+00:00,SherriMM28,@kathyhoffman_az @Supt_Hoffman @ChandlerUnified #OpenOurSchools #UnmaskOurKids I hope someone holds the decision makers responsible when this shit hits closer to home. https://t.co/X9hys1tQu9,https://twitter.com/SherriMM28/status/1347549823474429954
1347253275322585088,2021-01-07 18:46:26+00:00,SherriMM28,#FactsMatter #OpenTheSchools #UnmaskOurKids https://t.co/wbNkM2bunr,https://twitter.com/SherriMM28/status/1347253275322585088
1346502633247313921,2021-01-05 17:03:39+00:00,SherriMM28,I really wish you’d “investigate” this story like real journalists!  What’s the cycle thread? How many false pos? Are they then taken off the list? Serology added to #’s? Pos tests DO NOT equal a patient. A symptomatic is bullshit!  #OpenTheSchools #UnmaskOurKids https://t.co/6EfBraYz7O,https://twitter.com/SherriMM28/status/1346502633247313921
1346113665846681600,2021-01-04 15:18:02+00:00,heids_short,It's time to #unmaskourkids. https://t.co/mgqFTojIvu,https://twitter.com/heids_short/status/1346113665846681600
1345852005915402240,2021-01-03 21:58:17+00:00,SherriMM28,Masks &amp; Sanitizer... we all know we will see repercussions of its excessive use soon. It is tragic what the school districts are putting these kids through. #UnmaskOurKids #OpenSchoolsNoMasks https://t.co/FeROhUh56w,https://twitter.com/SherriMM28/status/1345852005915402240
1339647580121100289,2020-12-17 19:04:07+00:00,SherriMM28,It’s criminal what the school districts are doing to the kids. I only pray we come out of it soon before irreversible damage is done. @dougducey @drcarachrist #OpenSchoolsNoRestrictions #UnmaskOurKids https://t.co/5y5YptUNRC,https://twitter.com/SherriMM28/status/1339647580121100289
1339359986292539398,2020-12-17 00:01:19+00:00,mericanmom,@GregAbbott_TX It won’t matter if it’s not mandatory by the state if businesses require it. #plandemic #UnmaskTexas #unmaskourkids https://t.co/K6gJNxEoea,https://twitter.com/mericanmom/status/1339359986292539398
1338946234535485441,2020-12-15 20:37:13+00:00,107rideryyc,"@CMOH_Alberta Sure thing - can we #unmaskourkids then? Or since CBE takes direction from the city of Calgary instead of AB health should we be expecting Kinder students to keep wearing them for another year (improperly btw, which is increasing spread according to the WHO).",https://twitter.com/107rideryyc/status/1338946234535485441
1337218759195430912,2020-12-11 02:12:51+00:00,SherriMM28,Wake up people!!  #Casedemic #COVID19 #PCRtest #UnmaskOurKids #UnMaskArizona #EndRestrictions #OpenUpAmerica #Arizona https://t.co/ELGF94Z31R,https://twitter.com/SherriMM28/status/1337218759195430912
1336678080962760706,2020-12-09 14:24:23+00:00,mericanmom,@GovAbbott @WhiteHouse If there are effective treatments then why are you forcing a vaccine? We know the answer... #money #unmasktexas #unmaskourkids,https://twitter.com/mericanmom/status/1336678080962760706
1336382955363721218,2020-12-08 18:51:40+00:00,chapy22,"KIDS SHOULD NOT BE REQUIRED TO WEAR MASKS TO PLAY BASKETBALL!  This is insane! 
#OpenOhio
#UnmaskOurKids",https://twitter.com/chapy22/status/1336382955363721218
1334127186303827971,2020-12-02 13:28:02+00:00,galts1teaparty,@dougducey @PhoenixDiocese @BishopOlmsted #UnMaskAZ #UnMaskOurKids #ScienceMatters https://t.co/3WDSShYTha,https://twitter.com/galts1teaparty/status/1334127186303827971
1333598401481428994,2020-12-01 02:26:50+00:00,galts1teaparty,#DrFauci has blood on his hands along with all of the corrupt democrats and teacher unions. #OpenOurSchools #UnMaskOurKids https://t.co/jAQiO5vNh5,https://twitter.com/galts1teaparty/status/1333598401481428994
